Date,Open,High,Low,Close,Volume
2014-12-20,317.61898804,330.32501221,316.04400635,329.95599365,20856700
2014-12-21,329.54299927,329.62899780,318.90301514,320.84298706,15207600
2014-12-22,321.06799316,334.11700439,320.42498779,331.88598633,22315100
2014-12-23,332.01699829,336.28698730,329.60198975,334.57199097,16574200
2014-12-24,334.38500977,334.74099731,321.35699463,322.53399658,15092300
2014-12-25,322.28601074,322.67001343,316.95800781,319.00799561,9883640
2014-12-26,319.15200806,331.42401123,316.62701416,327.92401123,16410500
2014-12-27,327.58300781,328.91101074,312.63000488,315.86300659,15185200
2014-12-28,316.16000366,320.02801514,311.07800293,317.23901367,11676600
2014-12-29,317.70098877,320.26699829,312.30700684,312.67001343,12302500
2014-12-30,312.71899414,314.80899048,309.37298584,310.73699951,12528300
2014-12-31,310.91400146,320.19299316,310.21099854,320.19299316,13942900
2015-01-01,320.43499756,320.43499756,314.00299072,314.24899292,8036550
2015-01-02,314.07901001,315.83898926,313.56500244,315.03201294,7860650
2015-01-03,314.84600830,315.14999390,281.08200073,281.08200073,33054400
2015-01-04,281.14599609,287.23001099,257.61199951,264.19500732,55629100
2015-01-05,265.08401489,278.34100342,265.08401489,274.47399902,43962800
2015-01-06,274.61099243,287.55300903,272.69601440,286.18899536,23245700
2015-01-07,286.07699585,298.75399780,283.07901001,294.33700562,24866800
2015-01-08,294.13500977,294.13500977,282.17498779,283.34899902,19982500
2015-01-09,282.38299561,291.11401367,280.53298950,290.40798950,18718600
2015-01-10,287.30300903,288.12701416,273.96600342,274.79598999,15264300
2015-01-11,274.60800171,279.63800049,265.03900146,265.66000366,18200800
2015-01-12,266.14599609,272.20300293,265.20001221,267.79598999,18880300
2015-01-13,267.39401245,268.27700806,219.90600586,225.86099243,72843904
2015-01-14,223.89399719,223.89399719,171.50999451,178.10299683,97638704
2015-01-15,176.89700317,229.06700134,176.89700317,209.84399414,81773504
2015-01-16,209.07000732,221.59100342,199.77099609,208.09700012,38421000
2015-01-17,207.83399963,211.73100281,194.87500000,199.25999451,23469700
2015-01-18,200.05000305,218.69500732,194.50599670,210.33900452,30085100
2015-01-19,211.47099304,216.72799683,207.31799316,214.86099243,18658300
2015-01-20,212.90699768,215.24099731,205.15299988,211.31500244,24051100
2015-01-21,211.37800598,227.78799438,211.21200562,226.89700317,29924600
2015-01-22,227.32200623,237.01899719,226.43400574,233.40600586,33544600
2015-01-23,233.51699829,234.84500122,225.19599915,232.87899780,24621700
2015-01-24,232.69999695,248.21000671,230.02200317,247.84700012,24782500
2015-01-25,247.35200500,255.07400513,243.88999939,253.71800232,33582700
2015-01-26,254.07899475,309.38400269,254.07899475,273.47299194,106794000
2015-01-27,273.16699219,275.48001099,250.65299988,263.47500610,44399000
2015-01-28,263.35101318,266.53500366,227.04600525,233.91499329,44352200
2015-01-29,233.34800720,238.70599365,220.71200562,233.51300049,32213400
2015-01-30,232.77200317,242.85099792,225.83900452,226.42500305,26605200
2015-01-31,226.44099426,233.50399780,216.30900574,217.46400452,23348200
2015-02-01,216.86700439,231.57400513,212.01499939,226.97200012,29128500
2015-02-02,226.49099731,242.17500305,222.65899658,238.22900391,30612100
2015-02-03,237.45399475,245.95700073,224.48300171,227.26800537,40783700
2015-02-04,227.51100159,230.05799866,221.11300659,226.85299683,26594300
2015-02-05,227.66499329,239.40499878,214.72500610,217.11099243,22516400
2015-02-06,216.92300415,230.50999451,216.23199463,222.26600647,24435300
2015-02-07,222.63299561,230.29899597,222.60699463,227.75399780,21604200
2015-02-08,227.69299316,229.43800354,221.07699585,223.41200256,17145200
2015-02-09,223.38900757,223.97700500,217.01899719,220.11000061,27791300
2015-02-10,220.28199768,221.80700684,215.33200073,219.83900452,21115100
2015-02-11,219.73199463,223.40600586,218.07400513,219.18499756,17201900
2015-02-12,219.20799255,222.19900513,217.61399841,221.76400757,15206200
2015-02-13,221.96899414,240.25900269,221.26199341,235.42700195,42744400
2015-02-14,235.52799988,259.80801392,235.52799988,257.32101440,49732500
2015-02-15,257.50698853,265.61099243,227.68400574,234.82499695,56552400
2015-02-16,234.82499695,239.52099609,229.02200317,233.84300232,28153700
2015-02-17,233.42199707,245.77499390,232.31399536,243.61000061,27363100
2015-02-18,243.77999878,244.25100708,232.33999634,236.32600403,25200800
2015-02-19,236.41000366,242.67199707,235.59199524,240.28300476,18270500
2015-02-20,240.25100708,247.10099792,239.29899597,243.77900696,23876700
2015-02-21,243.75199890,255.32000732,243.18400574,244.53399658,12284200
2015-02-22,244.54400635,246.39199829,233.85099792,235.97700500,19527000
2015-02-23,235.99499512,240.10899353,232.42100525,238.89199829,16400000
2015-02-24,238.99800110,239.90100098,236.40199280,238.73500061,14200400
2015-02-25,238.88999939,239.33999634,235.52999878,237.47000122,11496200
2015-02-26,237.33700562,237.71000671,234.25700378,236.42599487,13619400
2015-02-27,236.43600464,256.65301514,236.43600464,253.82800293,44013900
2015-02-28,253.52000427,254.69200134,249.47900391,254.26300049,13949300
2015-03-01,254.28300476,261.66000366,245.93299866,260.20199585,25213700
2015-03-02,260.35699463,276.30099487,258.31298828,275.67001343,40465700
2015-03-03,275.04598999,285.79598999,268.16101074,281.70199585,50461300
2015-03-04,281.98999023,284.22500610,268.12600708,273.09201050,41383000
2015-03-05,272.73901367,281.66699219,264.76901245,276.17800903,41302400
2015-03-06,275.60000610,277.60800171,270.01501465,272.72299194,28918900
2015-03-07,272.29400635,277.85400391,270.13299561,276.26098633,17825900
2015-03-08,276.43301392,277.85800171,272.56500244,274.35400391,22067900
2015-03-09,274.81201172,292.70098877,273.89300537,289.60699463,59178200
2015-03-10,289.86199951,300.04400635,289.74301147,291.76000977,67770800
2015-03-11,291.52499390,297.39099121,290.50799561,296.37899780,33963900
2015-03-12,296.12701416,297.08801270,292.41299438,294.35400391,32585200
2015-03-13,294.11801147,294.49798584,285.33700562,285.33700562,31421500
2015-03-14,284.44198608,286.34201050,280.97601318,281.88500977,22612300
2015-03-15,281.42498779,286.52899170,280.99600220,286.39300537,11970100
2015-03-16,285.68499756,294.11199951,285.68499756,290.59298706,21516100
2015-03-17,290.59500122,292.36499023,284.37399292,285.50500488,21497200
2015-03-18,285.06698608,285.33599854,249.86999512,256.29901123,57008000
2015-03-19,255.88000488,264.24398804,248.63600159,260.92800903,52732000
2015-03-20,260.95599365,264.84799194,259.16198730,261.74899292,18456700
2015-03-21,261.64401245,262.19601440,255.64999390,260.02499390,17130100
2015-03-22,259.91699219,269.74700928,259.58999634,267.95999146,18438100
2015-03-23,267.89498901,277.29699707,261.74499512,266.73999023,22811900
2015-03-24,266.57699585,267.00299072,244.15499878,245.59500122,40073700
2015-03-25,247.47200012,249.19000244,236.51499939,246.19700623,35866900
2015-03-26,246.27600098,254.35400391,244.90499878,248.53199768,25730000
2015-03-27,248.56599426,256.81100464,245.21299744,247.02900696,17274900
2015-03-28,246.97500610,254.20500183,246.97500610,252.79800415,16040900
2015-03-29,252.74000549,253.13900757,240.85000610,242.71299744,21699400
2015-03-30,242.87899780,249.24200439,239.21400452,247.52600098,23009600
2015-03-31,247.45399475,248.72999573,242.73899841,244.22399902,22672000
2015-04-01,244.22300720,247.54100037,241.16000366,247.27200317,22877200
2015-04-02,247.08900452,254.46099854,245.41600037,253.00500488,26272600
2015-04-03,253.07400513,256.04299927,251.87899780,254.32200623,23146600
2015-04-04,254.29100037,255.25799561,251.10000610,253.69700623,12493500
2015-04-05,253.76100159,260.67498779,251.94200134,260.59799194,19649200
2015-04-06,260.72100830,261.79800415,254.57499695,255.49200439,20034200
2015-04-07,255.27400208,255.80499268,252.20500183,253.17999268,18467400
2015-04-08,253.06399536,253.84700012,244.21499634,245.02200317,30086400
2015-04-09,244.75100708,246.11799622,239.39999390,243.67599487,21643500
2015-04-10,243.69400024,243.69400024,232.77099609,236.07200623,28882000
2015-04-11,236.01600647,239.53700256,234.17500305,236.55200195,16365200
2015-04-12,236.53500366,237.72799683,233.49499512,236.15299988,12387900
2015-04-13,235.94999695,236.93499756,221.99600220,224.58700562,31181800
2015-04-14,224.75900269,224.97599792,216.32299805,219.15899658,31719000
2015-04-15,219.07299805,223.83299255,218.64900208,223.83299255,22562000
2015-04-16,223.91700745,229.67199707,223.91700745,228.57299805,24805400
2015-04-17,228.57499695,228.90600586,221.94200134,222.88200378,20429800
2015-04-18,222.85299683,224.31599426,220.87600708,223.35600281,12939000
2015-04-19,223.45599365,226.35299683,222.37300110,222.60000610,15021500
2015-04-20,222.61199951,226.35099792,221.97700500,224.62600708,18364700
2015-04-21,224.61999512,235.26899719,224.30099487,235.26899719,24978000
2015-04-22,235.60200500,237.90899658,233.47599792,234.17599487,23847900
2015-04-23,234.05299377,236.47500610,233.19900513,236.46200562,17036000
2015-04-24,235.97000122,236.30499268,229.93299866,231.26800537,21448700
2015-04-25,231.23500061,232.56100464,226.33700562,226.38999939,13957200
2015-04-26,226.41000366,226.94400024,214.87399292,219.42999268,28943700
2015-04-27,219.42900085,233.30499268,218.02299500,229.28599548,38574000
2015-04-28,228.96899414,229.49499512,223.06900024,225.85499573,21469200
2015-04-29,225.59100342,227.03999329,223.42999268,225.80799866,18936500
2015-04-30,225.69299316,239.56300354,224.99299622,236.14500427,33818600
2015-05-01,235.93899536,238.96600342,232.07899475,232.07899475,18815300
2015-05-02,232.34100342,235.72700500,232.34100342,234.92999268,12535500
2015-05-03,234.88000488,243.24000549,234.08299255,240.35800171,18494100
2015-05-04,240.35600281,242.63800049,237.80999756,239.01800537,21223400
2015-05-05,238.85200500,239.20399475,232.05400085,236.12100220,23929100
2015-05-06,236.24899292,236.45399475,229.23100281,229.78199768,29587200
2015-05-07,229.66200256,239.10499573,228.57299805,237.33399963,29064400
2015-05-08,237.20399475,246.27499390,236.27400208,243.86300659,27445500
2015-05-09,243.76899719,247.80400085,239.63900757,241.83200073,19790500
2015-05-10,241.72900391,244.06799316,238.84899902,240.29600525,15019100
2015-05-11,240.29899597,244.27000427,239.37600708,242.15800476,20892300
2015-05-12,242.14500427,242.88099670,240.09899902,241.11199951,19282600
2015-05-13,241.39799500,243.70399475,235.04499817,236.37699890,27180100
2015-05-14,236.21400452,237.79899597,234.05700684,236.92900085,24413700
2015-05-15,236.95500183,238.75300598,236.79499817,237.60499573,16329400
2015-05-16,237.64399719,237.69700623,235.29499817,236.15299988,11089700
2015-05-17,236.00999451,238.02499390,236.00999451,236.80200195,11134300
2015-05-18,236.88699341,237.21000671,232.46000671,233.12800598,16780300
2015-05-19,233.03700256,234.15100098,231.81700134,231.94700623,14241900
2015-05-20,231.88999939,234.68299866,231.84199524,234.01800537,15499400
2015-05-21,234.01600647,236.24200439,233.83500671,235.34399414,15108900
2015-05-22,235.32099915,240.96899414,235.05999756,240.34800720,27003000
2015-05-23,240.28599548,241.02499390,238.69099426,238.87199402,14605000
2015-05-24,238.97599792,241.97799683,238.81100464,240.95300293,11508000
2015-05-25,240.92700195,241.02099609,236.63699341,237.11000061,14423900
2015-05-26,237.10400391,238.24200439,235.69200134,237.11599731,16425000
2015-05-27,237.06500244,238.63600159,236.69500732,237.28300476,18837000
2015-05-28,237.25700378,237.82400513,236.65199280,237.40800476,13829600
2015-05-29,237.37699890,237.52200317,235.73100281,237.09599304,14805000
2015-05-30,237.09199524,237.09300232,232.04600525,233.34500122,14098600
2015-05-31,233.13499451,233.25199890,229.54200745,230.19000244,14730800
2015-06-01,230.23300171,231.71299744,221.29600525,222.92599487,26090500
2015-06-02,222.89399719,226.41600037,222.41900635,225.80299377,20459000
2015-06-03,225.73599243,227.40400696,223.92999268,225.87399292,17752400
2015-06-04,225.77200317,226.58099365,224.05400085,224.32400513,14728100
2015-06-05,224.15400696,225.96800232,223.17900085,224.95199585,18056500
2015-06-06,225.00500488,225.71899414,224.37899780,225.61900330,11131500
2015-06-07,225.59599304,226.19400024,222.65199280,222.88099670,13318400
2015-06-08,222.87899780,229.46400452,222.83900452,228.48899841,23378400
2015-06-09,228.53799438,230.95399475,227.92900085,229.04800415,28353100
2015-06-10,228.99499512,229.78199768,228.00999451,228.80299377,15904800
2015-06-11,228.85499573,230.28700256,228.76699829,229.70500183,14416000
2015-06-12,229.70500183,231.05700684,229.31300354,229.98199463,14017700
2015-06-13,229.91999817,232.65199280,229.21000671,232.40199280,13305300
2015-06-14,232.44200134,234.85800171,232.00399780,233.54299927,12165900
2015-06-15,233.42199707,237.83599854,233.42199707,236.82299805,19912100
2015-06-16,236.76499939,251.74200439,236.12199402,250.89500427,41612000
2015-06-17,250.82299805,256.85299683,246.47599792,249.28399658,43858400
2015-06-18,249.42799377,252.10800171,244.12699890,249.00700378,30980200
2015-06-19,249.04299927,250.97700500,243.78700256,244.60600281,23965300
2015-06-20,244.52999878,245.82800293,240.62699890,245.21200562,20608100
2015-06-21,245.10000610,245.22399902,241.88200378,243.94400024,10600900
2015-06-22,243.96899414,247.91700745,243.77900696,246.99000549,17692500
2015-06-23,246.92700195,247.30400085,243.13299561,244.29600525,15108700
2015-06-24,244.28199768,244.34100342,240.51499939,240.51499939,17344900
2015-06-25,240.36500549,243.33200073,240.36500549,242.79899597,16133100
